zstate1,zcity3
guangxi zhuang,longsheng various nationalities autonomo
jiangsu,yuhuatai district
inner mongolia,xuejiawan
guangxi zhuang,bama yaozu aut county
beijing,shunyi district
qinghai,huangnaihai township
jiangsu,weicun town
guangxi zhuang,jinxiu yaozu aut county
yunnan,mojiang hanizu aut county
jiangsu,jiangyan town
yunnan,lüchun county
shandong,dong e county
tibet,xaitongmoin county
hainan,jinjiang town
liaoning,shenbei new area
henan,song county
yunnan,jinping aut county
gansu,hui county
xinjiang uygur,manas county
shaanxi,jingyang county
inner mongolia,jarud qi
tibet,nedong district
tibet,doilungdêqên district
inner mongolia,haibowan district
shandong,qingdao
hubei,yingzhong neighborhood
guizhou,daozhen gelaozu miaozu aut county
yunnan,yuanjiang hani
jilin,yitong manchu autonomous county
jiangsu,liyang
inner mongolia,ulanhot
anhui,lai an county
fujian,fuan
henan,sui county
zhejiang,xintang
henan,xinxiang
jilin,lüyuan district
anhui,tongguan district
yunnan,guandu district
jiangsu,haizhou
hainan,wuzhishan city
gansu,liangzhou district
guizhou,ziyun miaozu buyeizu aut county
henan,jia county
yunnan,shilin yi autonomous county
xinjiang uygur,jeminay county
xinjiang uygur,kargilik county
inner mongolia,hexigten qi
tianjin,binhai
inner mongolia,alxa left banner
jiangsu,jianye district
qinghai,gade county
chongqing,sanhe subdistrict
jiangsu,binhu district
hubei,tianmen
beijing,mentougou district
hunan,yueyang county
xinjiang uygur,kekedala
guizhou,weng an county
gansu,wudu district
tianjin,heping district
jiangxi,jing an county
guangxi zhuang,mengzi
sichuan,sêrtar county
yunnan,eshan yizu aut county
heilongjiang,dorbod mongolzu aut county
guangxi zhuang,fuchuan yaozu aut county
hubei,yuan an county
gansu,kang county
xinjiang uygur,toutunhe district
zhejiang,jiande
zhejiang,qiantang district
inner mongolia,horinger
hubei,hongan county
beijing,beijing
yunnan,hekou yaozu aut county
hunan,shigu district
jiangxi,lianxi district
guangdong,longgang
shandong,jinan
fujian,huian county
yunnan,yulong naxi autonomous county
guangxi zhuang,pinggui district
hebei,nandayuan township
heilongjiang,harbin
xinjiang uygur,usu
liaoning,haicheng
jilin,changchun
zhejiang,chun an county
heilongjiang,dongan district
hubei,jiangxia district
xinjiang uygur,tiemenguan city
guizhou,zhenning buyeizu miaozu aut county
xinjiang uygur,nilka county
jiangsu,pukou district
henan,guancheng huizu district
hebei,xindu district
xinjiang uygur,toksun
jiangsu,gusu district
shanxi,lan county
No Data,No Data
inner mongolia,sonid zuoqi
inner mongolia,hure banner
jiangxi,changjiang district
hubei,shaodong
gansu,sunan yugur autonomous county
inner mongolia,horqin district
hebei,weichang manzu mongolzu aut county
jiangxi,zhancai
anhui,he county
chongqing,shizhu tujiazu aut county
hebei,zhao county
chongqing,No Data
hebei,weichang manchu and mongol autonomous co
sichuan,dawu county
shanxi,xia county
inner mongolia,xincheng district
henan,shunhe huizu district
guizhou,guiyang
henan,ye county
guangdong,guangming district
yunnan,lanping bai and pumi autonomous county
chongqing,chongqing
chongqing,pengshui miaozu tujiazu aut county
shanxi,jiexiu
liaoning,pingshan district
hunan,zhengxiang subdistrict
yunnan,xiaohekou
jiangsu,xinglongtai district
sichuan,cuiping district
shaanxi,hanbin district
yunnan,lancang lahu autonomous county
jiangsu,huilong town
liaoning,wafangdian
xinjiang uygur,gaochang district
hainan,haikou
beijing,fangshan district
hebei,kuancheng manchu autonomous county
henan,yeji district
shandong,jiulinzi
inner mongolia,arxan
jiangxi,liandu district
yunnan,hekou town
heilongjiang,pingyang town
gansu,li county
inner mongolia,tumd zuoqi
jiangxi,le an county
jiangxi,honggutan district
guangxi zhuang,longlin gezu aut county
guangxi zhuang,haicheng district
beijing,longshan subdistrict
hebei,ci county
sichuan,peng an county
tibet,lhatse county
liaoning,xinbin manzu aut county
gansu,qin an county
heilongjiang,meilisi daurzu district
inner mongolia,kangbashi district
shandong,donge county
tibet,chagyab county
zhejiang,jinxiang
jilin,ji an
jiangxi,gaoan
anhui,she county
shanxi,ji county
hunan,zhuzhou
chongqing,yubei district
shanxi,luzhou district
hunan,jingzhou miao and dong autonomous county
inner mongolia,tumd youqi
guizhou,huaxi district
inner mongolia,bairin left banner
henan,hubin district
tianjin,xiqing district
inner mongolia,otog qianqi
qinghai,maqên
beijing,chaoyang district
fujian,gulou district
jiangxi,luxi county
zhejiang,yuecheng district
hainan,lingshui li autonomous county
guangdong,kuichong subdistrict
fujian,nanjing
liaoning,hunnan district
gansu,tanchang county
zhejiang,gongshu district
hunan,changsha
henan,chanhe hui district
inner mongolia,otog banner
zhejiang,lucheng district
sichuan,ebian yi autonomous county
heilongjiang,hondlon district
hainan,ding an
xinjiang uygur,kuytun
qinghai,xining
guangdong,nanshan district
guangdong,huangpu
shaanxi,weicheng district
xinjiang uygur,jimsar county
zhejiang,rui an
heilongjiang,aimin district
inner mongolia,xingqing district
anhui,hefei
xinjiang uygur,karamay
inner mongolia,bairin youqi
tibet,coqên county
sichuan,lu county
hunan,yuhua district
jilin,meihekou
tianjin,xiaodian village
hubei,gongan county
hubei,qingcheng
jiangxi,de an county
guangxi zhuang,du an yao autonomous county
shaanxi,shagedu
shanghai,No Data
xinjiang uygur,orku district
inner mongolia,bayan hure
guizhou,wuchuan gelaozu miaozu aut county
hubei,xian an district
shanxi,shuoxian
chongqing,youyang tujiazu miaozu aut county
shaanxi,mei county
sichuan,shuangliu
guangxi zhuang,rong an
guizhou,liuzhi special district
inner mongolia,dalad qi
qinghai,minhe huizu tuzu aut county
guangdong,shahe town
henan,shaoling district
gansu,zhang county
heilongjiang,sairt district
yunnan,cangyuan va autonomous county
zhejiang,zhuangshi
tianjin,xiaobailou subdistrict
hebei,daming
guangdong,shenzhen
hebei,tanghaizhensi team
tibet,mainling
qinghai,huangnan tibetan autonomous prefecture
xinjiang uygur,hoboksar
inner mongolia,altan emel
chongqing,zhong county
heilongjiang,horqin district
guangdong,hepo town
guangdong,fuyong town
guangxi zhuang,sanjiang dong autonomous county
tibet,bomê county
hainan,ding an county
