zcrtname,zstate1,zcity3
China,guangdong,futian district
China,guangdong,dongguan
China,guangdong,No Data
China,guangdong,yuexiu district
China,jiangsu,xinwu district
China,shandong,shibei district
China,jiangsu,kunshan
China,guangxi zhuang,haicheng district
China,anhui,shushan district
China,beijing,shunyi district
China,chongqing,yubei district
China,guangdong,baoan district
China,shanghai,shanghai
China,henan,linzhou
China,hunan,furong district
China,jiangsu,suzhou
China,sichuan,pidu district
China,hainan,haikou
China,hubei,guanshan
China,hainan,lingao county
China,jiangxi,xihu district
China,guangdong,guangzhou
China,guangdong,panyu district
China,guangdong,sanshui district
China,guizhou,guanshanhu district
China,jiangxi,zhushan district
China,beijing,haidian district
China,guangdong,shenzhen
China,shandong,xintai
China,beijing,beijing
China,guizhou,zhongshan district
China,hebei,baoding
China,gansu,chengguan district
China,jiangxi,pingxiang
China,anhui,luyang qu
China,hubei,wuchang district
China,hubei,wuhan
China,shanghai,pudong
China,liaoning,hunnan district
China,shaanxi,yanta district
China,anhui,hefei
China,beijing,chaoyang district
China,guangdong,guangming district
China,jiangsu,gusu district
China,beijing,dongcheng district
China,shaanxi,shenmu
China,sichuan,wuhou district
China,anhui,yushan district
China,tianjin,nankai district
China,fujian,huli district
China,hubei,jiangxia district
China,heilongjiang,harbin
China,sichuan,jinjiang district
China,shanghai,baoshan district
China,jiangsu,jiangning district
China,shaanxi,weiyang district
China,liaoning,shenyang
China,jiangsu,xiangcheng district
China,jiangsu,xuanwu district
China,hebei,qiaoxi district
China,guangdong,nanshan district
China,chongqing,chongqing
China,guangdong,tianhe district
China,jiangxi,nankang district
China,zhejiang,hangzhou
China,jiangsu,wuzhong district
China,zhejiang,shangcheng district
China,shaanxi,chang an district
China,sichuan,qingyang district
China,beijing,xicheng qu
China,heilongjiang,xiangfang district
China,shanghai,jing an district
China,liaoning,shenbei new area
China,tianjin,dongli district
China,guangdong,zhongshan
China,hubei,hongshan district
China,shaanxi,xi\u0027an
China,xinjiang uygur,saybag district
China,fujian,jimei district
China,zhejiang,xiaoshan
China,liaoning,shahekou district
China,jiangsu,huqiu district
China,shaanxi,beilin district
China,guangxi zhuang,qingxiu district
China,shandong,feicheng
China,tianjin,binhai
China,chongqing,yuzhong district
China,liaoning,ganjingzi district
China,jiangsu,taicang
China,hubei,echeng district
China,zhejiang,yuhang district
China,sichuan,chengdu
China,hebei,huanghua
China,guangdong,longhua district
China,fujian,chengxiang district
China,hainan,meilan district
China,hubei,caidian district
China,shanghai,minhang district
China,yunnan,guandu district
China,yunnan,mangshi
China,liaoning,xigang district
China,hubei,maojian district
China,No Data,No Data
China,hubei,dongxihu district
China,jiangxi,nanchang
China,tianjin,hebei district
China,anhui,langya district
China,zhejiang,xihu district
China,zhejiang,xintang
China,anhui,jinghu district
China,fujian,gulou district
China,shanghai,hongkou district
China,shandong,wendeng district
China,shandong,chengyang district
China,shanghai,huangpu district
China,zhejiang,jinhua
China,shanxi,yuci district
China,guangdong,baiyun district
China,shanxi,pingcheng district
China,jiangsu,xuzhou
China,fujian,luoyuan county
China,chongqing,jiulongpo district
China,chongqing,fengdu
China,sichuan,dayi county
China,liaoning,tiedong district
China,henan,jinshui district
China,jiangsu,yixing
China,inner mongolia,ud district
China,shanghai,putuo district
China,shandong,lixia district
China,guangdong,duanzhou district
China,inner mongolia,hongshan district
China,shaanxi,guodu
China,jiangsu,luhe
China,jiangsu,yuhuatai district
China,beijing,shijingshan district
China,shanxi,yaodu district
China,shanghai,qingpu district
China,guangdong,longgang
China,anhui,jiujiang district
China,tianjin,hexi district
China,shanghai,changning district
China,guangdong,shunde district
China,henan,huiji district
China,henan,erqi district
China,anhui,wuhu
China,jiangsu,nanjing
China,guangdong,huicheng district
China,sichuan,jinniu district
China,sichuan,chenghua district
China,guangdong,pingshan district
China,hunan,daxiang district
China,hebei,xianghe
China,shanxi,yingze district
China,xinjiang uygur,artux
China,liaoning,heping district
China,anhui,wanzhi district
China,fujian,minhou county
China,tianjin,tianjin
China,fujian,jin an district
China,liaoning,yuhong district
China,tibet,karuo district
China,sichuan,cuiping district
China,shandong,zhifu district
China,shandong,penglai district
China,heilongjiang,nangang district
China,guangxi zhuang,jiangnan district
China,fujian,siming district
China,shanghai,xuhui district
China,guangdong,nanhai district
China,shandong,jinan
China,shandong,licheng district
China,jilin,changchun
China,chongqing,yubei qu
China,jiangsu,yangzhou
China,guangdong,zhuhai
China,guangdong,xiangzhou district
China,liaoning,dalian
China,beijing,No Data
China,fujian,taijiang district
China,hubei,hanyang
China,yunnan,kunming
China,jiangsu,gulou district
China,shanghai,jing\u0027an district
China,zhejiang,gongshu district
China,beijing,xibeiwang zhen
China,guangdong,huizhou
China,sichuan,neijiang
China,jiangxi,xinjian district
China,jiangsu,qinhuai district
China,hunan,yuelu district
China,shaanxi,xi an
China,fujian,longyan
China,hubei,jiangxia qu
China,jiangsu,binhu district
China,shandong,tengzhou
China,xinjiang uygur,ürümqi county
China,shandong,qingdao
China,guangdong,huangpu
China,henan,zhengzhou
China,zhejiang,kecheng district
China,sichuan,shuangliu
China,jiangsu,wuxi
China,hubei,tianhe
China,shanghai,jiading district
China,henan,xinxian county
China,fujian,xiamen
China,zhejiang,yinzhou district
China,yunnan,chenggong district
China,guangdong,liaobuzhen
China,guangdong,qingcheng
China,henan,tianpuxiang
China,chongqing,yongchang
China,zhejiang,dongqianhuzhen
China,guizhou,guiyang
China,jiangsu,weitingzhen
China,anhui,baohe district
China,fujian,fuzhou
China,shanghai,yangpu district
China,inner mongolia,baotou
China,guangdong,foshan
China,zhejiang,ningbo
China,zhejiang,quzhou
China,jiangsu,nantong
China,fujian,maxiangzhen
China,guangdong,shiyan
China,jiangsu,taizhou
China,guangdong,nanshan qu
China,ningxia hui,yinchuan
China,shaanxi,xixiang
China,beijing,xicheng district
China,anhui,yaohai district
China,guangdong,nansha district
China,sichuan,No Data
China,beijing,fengtai district
China,guangdong,xixiang
China,guangdong,huadongzhen
China,zhejiang,linhai
China,hubei,daye
China,beijing,weishanzhuangzhen
China,shandong,xuecheng district
China,jiangsu,guangling district
China,xinjiang uygur,urumqi
China,guangdong,pengjiang district
China,guizhou,dongfengzhen guiyang
China,inner mongolia,xincheng district
China,liaoning,panjin
China,shandong,shizhong district
China,jiangsu,yunlong district
China,zhejiang,yueqing
China,jiangsu,jianye district
China,shandong,shinan district
China,hunan,changsha
China,jiangxi,ji\u0027an
China,hubei,jingmen
China,guangdong,nangang
China,shaanxi,hanzhong
China,inner mongolia,saihan district
China,shanghai,jiangwanzhen
China,sichuan,deyang
China,inner mongolia,xuejiawan
China,shandong,dongying
China,heilongjiang,shuangyashan
China,henan,fugou
