activation_country,activation_province,activation_city,activation_town,ms_act_country,ms_act_province,ms_act_city
中国,吉林,延边朝鲜族自治州,珲春市,China,jilin,hunchun
中国,吉林,长春市,二道区,China,jilin,yingjun
中国,四川,攀枝花市,西区,China,sichuan,xiqu district
中国,安徽,宣城市,宣州区,China,anhui,xuanzhou district
中国,安徽,宣城市,宣州区,China,anhui,nanqiao district
中国,安徽,宣城市,宁国市,China,anhui,tongling
中国,安徽,宣城市,绩溪县,China,anhui,xuanzhou district
中国,安徽,宣城市,宣州区,China,anhui,shushan district
中国,安徽,宣城市,泾县,China,anhui,shushan district
中国,安徽,宣城市,广德县,China,anhui,hefei
中国,安徽,宣城市,郎溪县,China,anhui,shushan district
中国,安徽,宣城市,宁国市,China,anhui,hefei
中国,安徽,宣城市,宁国市,China,anhui,guangde
中国,安徽,宣城市,宁国市,China,anhui,shushan district
中国,安徽,宣城市,宁国市,China,anhui,ningguo
中国,安徽,宣城市,郎溪县,China,anhui,xuancheng
中国,安徽,宣城市,郎溪县,China,anhui,hefei
中国,安徽,宣城市,广德县,China,anhui,shushan district
中国,安徽,宣城市,广德县,China,anhui,guangde
中国,安徽,宣城市,宁国市,China,anhui,xuanzhou district
中国,安徽,宣城市,泾县,China,anhui,hefei
中国,安徽,宣城市,郎溪县,China,anhui,langxi
中国,安徽,宣城市,宁国市,China,anhui,luyang district
中国,安徽,宣城市,绩溪县,China,anhui,shushan district
中国,安徽,宣城市,泾县,China,anhui,feidong county
中国,安徽,宣城市,郎溪县,China,anhui,xuanzhou district
中国,安徽,宣城市,宣州区,China,anhui,luyang district
中国,安徽,宣城市,泾县,China,anhui,ningguo
中国,安徽,宣城市,宣州区,China,anhui,guangde
中国,安徽,宣城市,宣州区,China,anhui,hefei
中国,安徽,宣城市,广德县,China,anhui,ningguo
中国,安徽,宣城市,宁国市,China,anhui,langxi
中国,安徽,宣城市,泾县,China,anhui,xuanzhou district
中国,安徽,宣城市,宣州区,China,fujian,siming district
中国,安徽,宣城市,宣州区,China,anhui,jiujiang district
中国,安徽,宣城市,宁国市,China,anhui,xuancheng
中国,安徽,宣城市,郎溪县,China,anhui,tianjia an district
中国,安徽,宣城市,宣州区,China,anhui,xuancheng
中国,安徽,宣城市,广德县,China,anhui,xuanzhou district
中国,安徽,宣城市,广德县,China,anhui,baohe district
中国,安徽,宣城市,郎溪县,China,anhui,luyang district
中国,安徽,宣城市,宣州区,China,anhui,ningguo
中国,安徽,宣城市,泾县,China,anhui,feixi county
中国,安徽,宣城市,郎溪县,China,jiangsu,nanjing
中国,安徽,宣城市,宁国市,China,anhui,yaohai district
中国,安徽,宣城市,泾县,China,anhui,mingguang
中国,山东,泰安市,岱岳区,China,shandong,daiyue district
中国,山东,东营市,利津县,China,shandong,lijin
中国,山东,淄博市,沂源县,China,shandong,yiyuan county
中国,广东,肇庆市,高要市,China,guangdong,lecheng
中国,广西,南宁市,江南区,China,guangxi zhuang,jiangnan district
中国,河南,NODATA,,China,,
中国,浙江,舟山市,定海区,China,zhejiang,dinghai
中国,浙江,舟山市,定海区,China,zhejiang,zhoushan
中国,浙江,舟山市,普陀区,China,zhejiang,putuo district
中国,浙江,舟山市,岱山县,China,zhejiang,daishan
中国,浙江,舟山市,嵊泗县,China,zhejiang,daishan
中国,浙江,舟山市,定海区,China,zhejiang,daishan
中国,浙江,舟山市,普陀区,China,zhejiang,jingning she autonomous county
中国,浙江,舟山市,普陀区,China,zhejiang,daishan
中国,浙江,舟山市,普陀区,China,zhejiang,dinghai
中国,浙江,舟山市,普陀区,China,zhejiang,zhoushan
中国,浙江,舟山市,嵊泗县,China,zhejiang,zhoushan
中国,浙江,舟山市,定海区,China,zhejiang,shengsi county
中国,浙江,舟山市,定海区,China,zhejiang,putuo district
中国,浙江,舟山市,定海区,China,zhejiang,xihu district
中国,浙江,舟山市,嵊泗县,China,zhejiang,hangzhou
中国,浙江,舟山市,定海区,China,zhejiang,ningbo
中国,浙江,舟山市,定海区,China,zhejiang,yinzhou district
中国,浙江,舟山市,岱山县,China,zhejiang,dinghai
中国,浙江,舟山市,岱山县,China,zhejiang,zhoushan
中国,浙江,舟山市,定海区,China,zhejiang,hangzhou
中国,浙江,舟山市,普陀区,China,zhejiang,huzhou
中国,浙江,舟山市,定海区,China,zhejiang,shangcheng district
中国,浙江,舟山市,嵊泗县,China,zhejiang,shengsi county
中国,浙江,舟山市,普陀区,China,zhejiang,hangzhou
中国,浙江,舟山市,普陀区,China,zhejiang,taizhou
中国,浙江,舟山市,嵊泗县,China,zhejiang,dinghai
中国,浙江,舟山市,定海区,China,zhejiang,jiangdong district
中国,海南,NODATA,,China,,
中国,海南,琼海市,琼海市,China,hainan,zhongyuan
中国,海南,万宁市,万宁市,China,hainan,wanning
