cityname,cityshortname,citypinyin,cityshortpinyin,cityareaname,cityareashortname,provincename,provinceshortname
龙门县,龙门,longmenxian,longmen,惠州市,惠州市,广东,广东
江阳区,江阳,jiangyangqu,jiangyang,泸州市,泸州市,四川,四川
龙文区,龙文,longwenqu,longwen,漳州市,漳州市,福建,福建
上杭县,上杭,shanghangxian,shanghang,龙岩市,龙岩市,福建,福建
怀集县,怀集,huaijixian,huaiji,肇庆市,肇庆市,广东,广东
南雄市,南雄,nanxiongshi,nanxiong,韶关市,韶关市,广东,广东
番禺区,番禺,fanyuqu,fanyu,广州市,广州市,广东,广东
大新县,大新,daxinxian,daxin,崇左市,崇左市,广西,广西
雷波县,雷波,leiboxian,leibo,凉山彝族自治州,凉山彝族自治州,四川,四川
宁蒗彝族自治县,宁蒗彝族,ninglangyizuzizhixian,ninglangyizu,丽江市,丽江市,云南,云南
水城县,水城,shuichengxian,shuicheng,六盘水市,六盘水市,贵州,贵州
六枝特区,六枝特区,liuzhitequ,liuzhitequ,六盘水市,六盘水市,贵州,贵州
雷山县,雷山,leishanxian,leishan,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
曲阳县,曲阳,quyangxian,quyang,保定市,保定市,河北,河北
应城市,应城,yingchengshi,yingcheng,孝感市,孝感市,湖北,湖北
碌曲县,碌曲,luquxian,luqu,甘南藏族自治州,甘南藏族自治州,甘肃,甘肃
濮阳县,濮阳,puyangxian,puyang,濮阳市,濮阳市,河南,河南
中牟县,中牟,zhongmouxian,zhongmou,郑州市,郑州市,河南,河南
灵武市,灵武,lingwushi,lingwu,银川市,银川市,宁夏,宁夏
崇川区,崇川,chongchuanqu,chongchuan,南通市,南通市,江苏,江苏
临河区,临河,linhequ,linhe,巴彦淖尔市,巴彦淖尔市,内蒙古,内蒙古
怀来县,怀来,huailaixian,huailai,张家口市,张家口市,河北,河北
易县,易县,yixian,yixian,保定市,保定市,河北,河北
广阳区,广阳,guangyangqu,guangyang,廊坊市,廊坊市,河北,河北
乐昌市,乐昌,lechangshi,lechang,韶关市,韶关市,广东,广东
金山区,金山,jinshanqu,jinshan,上海市,上海市,上海,上海
西昌市,西昌,xichangshi,xichang,凉山彝族自治州,凉山彝族自治州,四川,四川
金溪县,金溪,jinxixian,jinxi,抚州市,抚州市,江西,江西
马尾区,马尾,maweiqu,mawei,福州市,福州市,福建,福建
新化县,新化,xinhuaxian,xinhua,娄底市,娄底市,湖南,湖南
琅琊区,琅琊,langyaqu,langya,滁州市,滁州市,安徽,安徽
黄岛区,黄岛,huangdaoqu,huangdao,青岛市,青岛市,山东,山东
渠县,渠县,quxian,quxian,达州市,达州市,四川,四川
婺城区,婺城,wuchengqu,wucheng,金华市,金华市,浙江,浙江
房县,房县,fangxian,fangxian,十堰市,十堰市,湖北,湖北
长沙县,长沙,changshaxian,changsha,长沙市,长沙市,湖南,湖南
长阳土家族自治县,长阳土家族,changyangtujiazuzizhixian,changyangtujiazu,宜昌市,宜昌市,湖北,湖北
