zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,province_clean,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin,11
xinjiang uygur,burqin county,xinjiang uygur指新疆维吾尔自治区。burqin county指新疆维吾尔自治区的布尔津县，所属地级行政区是阿勒泰地区，全称阿勒泰地区，简称阿勒泰。布尔津县全称布尔津县，简称布尔津,新疆维吾尔自治区,阿勒泰地区,阿勒泰,布尔津县,布尔津,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，阿勒泰地区拼音aletaidiqu，阿勒泰拼音aletai，布尔津县拼音buerjinxian，布尔津拼音buerjin,xinjiangweiwuerzizhiqu,xinjiang,aletaidiqu,aletai,buerjinxian,buerjin,新疆维吾尔自治区,新疆,阿勒泰地区,阿勒泰,aletaidiqu,Altay,Xinjiang,
xinjiang uygur,altay prefecture,xinjiang uygur指新疆维吾尔自治区。altay prefecture指新疆维吾尔自治区的阿勒泰地区，全称阿勒泰地区，简称阿勒泰。,新疆维吾尔自治区,阿勒泰地区,阿勒泰,null,null,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，阿勒泰地区拼音aletai diqu，阿勒泰拼音aleta，null非中文返回null，null非中文返回null,xinjiangweiwuerzizhiqu,xinjiang,aletai diqu,aleta,null,null,新疆维吾尔自治区,新疆,阿勒泰地区,阿勒泰,aletaidiqu,Altay,Xinjiang,
guangxi zhuang,longlin gezu aut county,guangxi zhuang指广西壮族自治区。longlin gezu aut county指广西百色市的隆林各族自治县，所属地级行政区是百色市，全称百色市，简称百色。隆林各族自治县的全称是隆林各族自治县，简称隆林，填充到区。,广西壮族自治区,百色市,百色,隆林各族自治县,隆林,广西壮族自治区拼音guangxizhuangzuzizhiqu，百色市拼音baise shi，百色拼音baise，隆林各族自治县拼音longlingezuzizhixian，隆林拼音longlin,guangxizhuangzuzizhiqu,guangxi,baise shi,baise,longlingezuzizhixian,longlin,广西省,广西,百色市,百色,baiseshi,Baise,Guangxi,
xinjiang uygur,hoxud,xinjiang uygur指新疆维吾尔自治区。hoxud指新疆的和硕县，和硕县是县级行政区，所属地级行政区是巴音郭楞蒙古自治州，全称巴音郭楞蒙古自治州，简称巴州。和硕县的全称是和硕县，简称和硕，填充到区。,新疆维吾尔自治区,巴音郭楞蒙古自治州,巴州,和硕县,和硕,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，巴音郭楞蒙古自治州拼音bayinguolengmengguzizhizhou，巴州拼音bazhou，和硕县拼音heshuo xian，和硕拼音heshuo,xinjiangweiwuerzizhiqu,xinjiang,bayinguolengmengguzizhizhou,bazhou,heshuo xian,heshuo,新疆维吾尔自治区,新疆,巴音郭楞蒙古自治州,巴音郭楞,bayinguolengmengguzizhizhou,Bayingol,Xinjiang,
guangxi zhuang,haicheng district,guangxi zhuang指广西壮族自治区。haicheng district指广西北海的海城区，所属地级行政是北海市，全称北海市，简称北海。海城区全称海城区，简称海城,广西壮族自治区,北海市,北海,海城区,海城,广西壮族自治区拼音guangxizhuangzuzizhiqu，北海市拼音beihaishi，北海拼音beihai，海城区拼音haichengqu，海城拼音haicheng,guangxizhuangzuzizhiqu,guangxi,beihaishi,beihai,haichengqu,haicheng,广西省,广西,北海市,北海,beihaishi,Beihai,Guangxi,
beijing,haidian neighborhood,beijing指北京。haidian neighborhood指北京的海淀区，海淀区是市辖区，全称海淀区，简称海淀,北京,北京市,北京,海淀区,海淀,北京拼音beijing，北京市拼音beijingshi，北京拼音beijing，海淀区拼音haidianqu，海淀拼音haidian,beijing,beijing,beijingshi,beijing,haidianqu,haidian,北京市,北京,北京市,北京,beijingshi,Beijing,Beijing,
beijing,daxing district,beijing指北京。daxing district指北京的大兴区，所属地级行政是北京市，全称北京市，简称北京。大兴区全称大兴区，简称大兴,北京,北京市,北京,大兴区,大兴,北京拼音beijing，北京市拼音beijingshi，北京拼音beijing，大兴区拼音daxingqu，大兴拼音daxing,beijing,beijing,beijingshi,beijing,daxingqu,daxing,北京市,北京,北京市,北京,beijingshi,Beijing,Beijing,
beijing,mentougou district,beijing指北京。mentougou district指北京的门头沟区，门头沟区是北京市辖区，全称门头沟区，简称门头沟,北京,北京市,北京,门头沟区,门头沟,北京拼音beijing，北京市拼音beijingshi，北京拼音beijing，门头沟区拼音mentougouqu，门头沟拼音mentougou,beijing,beijing,beijingshi,beijing,mentougouqu,mentougou,北京市,北京,北京市,北京,beijingshi,Beijing,Beijing,
xinjiang uygur,yizhou district,xinjiang uygur指新疆维吾尔自治区。yizhou district指新疆维吾尔自治区昌吉回族自治州的伊州区，所属地级行政是昌吉回族自治州，全称昌吉回族自治州，简称昌吉。伊州区全称伊州区，简称伊州,新疆维吾尔自治区,昌吉回族自治州,昌吉,伊州区,伊州,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，昌吉回族自治州拼音changjihuizuzizhizhou，昌吉拼音changji，伊州区拼音yizhouqu，伊州拼音yizhou,xinjiangweiwuerzizhiqu,xinjiang,changjihuizuzizhizhou,changji,yizhouqu,yizhou,新疆维吾尔自治区,新疆,昌吉回族自治州,昌吉,changjihuizuzizhizhou,Changji,Xinjiang,
shandong,lincheng neighborhood,,山东,枣庄市,枣庄,薛城区,薛城,,,,,,,,山东省,山东,枣庄市,枣庄,zaozhuangshi,zaozhuang,Shandong,
