zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,province_clean,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
inner mongolia,hondlon district,inner mongolia指内蒙古。hondlon district为包头市昆都仑区，市全称升级为包头市。,内蒙古,包头市,包头,昆都仑区,昆都仑,内蒙古拼音neimenggu，包头市拼音baotoushi，包头拼音baotou，昆都仑区拼音kundulunqu，昆都仑拼音kundulun,neimenggu,inner mongolia,baotoushi,baotou,kundulunqu,kundulun,内蒙古自治区,内蒙古,包头市,包头,baotoushi,Baotou,Inner Mongolia
inner mongolia,qingshan district,inner mongolia指内蒙古。qingshan district指青山区，所属地级行政区是包头市，全称包头市，简称包头。青山区全称青山区，简称青山。,内蒙古,包头市,包头,青山区,青山,内蒙古拼音neimenggu，包头市拼音baotoushi，包头拼音baotou，青山区拼音qingshanqu，青山拼音qingshan,neimenggu,inner mongolia,baotoushi,baotou,qingshanqu,qingshan,内蒙古自治区,内蒙古,包头市,包头,baotoushi,Baotou,Inner Mongolia
liaoning,pingshan district,liaoning指辽宁。pingshan district指本溪市平山区，所属地级行政是本溪市，全称本溪市，简称本溪。区级单位填充到区。,辽宁,本溪市,本溪,平山区,平山,辽宁拼音liaoning，本溪市拼音benxishi，本溪拼音benxi，平山区拼音pingshanqu，平山拼音pingshan,liaoning,liaoning,benxishi,benxi,pingshanqu,pingshan,辽宁省,辽宁,本溪市,本溪,benxishi,Benxi,Liaoning
yunnan,yao an county,yunnan指云南。yao an county是姚安县，隶属楚雄彝族自治州，简称楚雄。姚安县简称姚安。,云南,楚雄彝族自治州,楚雄,姚安县,姚安,云南拼音yunnan，楚雄彝族自治州拼音chuxiongyizuzizhizhou，楚雄拼音chuxiong，姚安县拼音yaoanxian，姚安拼音yaoan,yunnan,yunnan,chuxiongyizuzizhizhou,chuxiong,yaoanxian,yaoan,云南省,云南,楚雄彝族自治州,楚雄,chuxiongyizuzizhizhou,Chuxiong,Yunnan
inner mongolia,xuejiawan,inner mongolia指内蒙古自治区。xuejiawan可能指鄂尔多斯市准格尔旗的薛家湾镇，所属地级行政是鄂尔多斯市，全称鄂尔多斯市，简称鄂尔多斯。薛家湾镇不属于区级行政区，返回原输入。,内蒙古,鄂尔多斯市,鄂尔多斯,null,null,内蒙古拼音neimenggu，鄂尔多斯市拼音eerduosishi，鄂尔多斯拼音eerduosi，null非中文返回null，null非中文返回null,neimenggu,inner mongolia,eerduosishi,eerduosi,null,null,内蒙古自治区,内蒙古,鄂尔多斯市,鄂尔多斯,eerduosishi,Ordos,Inner Mongolia
heilongjiang,gongnong district,heilongjiang指黑龙江。gongnong district指工农区，所属地级行政区是鹤岗市，全称鹤岗市，简称鹤岗。工农区全称工农区，简称工农。,黑龙江,鹤岗市,鹤岗,工农区,工农,黑龙江拼音heilongjiang，鹤岗市拼音hegangshi，鹤岗拼音hegang，工农区拼音gongnongqu，工农拼音gongnong,heilongjiang,heilongjiang,hegangshi,hegang,gongnongqu,gongnong,黑龙江省,黑龙江,鹤岗市,鹤岗,hegangshi,Hegang,Heilongjiang
xinjiang uygur,kunyu,xinjiang uygur指新疆。kunyu为和田地区昆玉市，市全称升级为和田地区，区为昆玉市。,新疆,和田地区,和田,昆玉市,昆玉,新疆拼音xinjiang，和田地区拼音hetiandiqu，和田拼音hetian，昆玉市拼音kunyushi，昆玉拼音kunyu,xinjiang,xinjiang,hetiandiqu,hetian,kunyushi,kunyu,新疆维吾尔自治区,新疆,和田地区,和田,hetiandiqu,Hotan,Xinjiang
guangxi zhuang,mengzi,guangxi zhuang指广西壮族自治区。mengzi指红河哈尼族彝族自治州蒙自市，所属地级行政是红河哈尼族彝族自治州，全称红河哈尼族彝族自治州，简称红河。县级市填充到区。,广西,红河哈尼族彝族自治州,红河,蒙自市,蒙自,广西拼音guangxi，红河哈尼族彝族自治州拼音honghehanizuyizuzizhizhou，红河拼音honghe，蒙自市拼音mengzishi，蒙自拼音mengzi,guangxi,guangxi,honghehanizuyizuzizhizhou,honghe,mengzishi,mengzi,云南省,云南,红河哈尼族彝族自治州,红河,honghehanizuyizuzizhizhou,Honghe,Yunnan
qinghai,huangnaihai township,qinghai指青海。huangnaihai township指黄南藏族自治州同仁县的黄乃亥乡，所属地级行政是黄南藏族自治州，全称黄南藏族自治州，简称黄南。乡级单位不填充到区。,青海,黄南藏族自治州,黄南,null,null,青海拼音qinghai，黄南藏族自治州拼音huangnanzangzuzizhizhou，黄南拼音huangnan，null非中文返回null，null非中文返回null,qinghai,qinghai,huangnanzangzuzizhizhou,huangnan,null,null,青海省,青海,黄南藏族自治州,黄南,huangnancangzuzizhizhou,Huangnan,Qinghai
