zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,province_clean,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
No Data,No Data,省输入No Data，无法确定，返回原输入。市输入No Data，无法确定，返回原输入。区无数据返回null。,No Data,No Data,No Data,null,null,省No Data非中文返回null，市全称No Data非中文返回null，市简称No Data非中文返回null，区全称null返回null，区简称null返回null,null,null,null,null,null,null,,,,,,,
hubei,shaodong,hubei指湖北。shaodong在湖北省内无对应地级行政区，无法确定隶属关系，返回原输入。,湖北,shaodong,shaodong,null,null,湖北拼音hubei，市全称shaodong非中文返回null，市简称shaodong非中文返回null，区全称null返回null，区简称null返回null,hubei,hubei,null,null,null,null,,,,,,,
jiangxi,zhancai,jiangxi指江西。zhancai在江西省内无对应地级行政区，无法确定隶属关系，返回原输入。,江西,zhancai,zhancai,null,null,江西拼音jiangxi，市全称zhancai非中文返回null，市简称zhancai非中文返回null，区全称null返回null，区简称null返回null,jiangxi,jiangxi,null,null,null,null,,,,,,,
chongqing,No Data,chongqing是直辖市。市输入No Data无法识别，返回原输入。区无数据返回null。,重庆,No Data,No Data,null,null,重庆拼音chongqing，市全称No Data非中文返回null，市简称No Data非中文返回null，区全称null返回null，区简称null返回null,chongqing,chongqing,null,null,null,null,,,,,,,
shandong,jiulinzi,shandong指山东。jiulinzi在山东省内无对应地级行政区，无法确定隶属关系，返回原输入。,山东,jiulinzi,jiulinzi,null,null,山东拼音shandong，市全称jiulinzi非中文返回null，市简称jiulinzi非中文返回null，区全称null返回null，区简称null返回null,shandong,shandong,null,null,null,null,,,,,,,
shaanxi,shagedu,shaanxi指陕西。shagedu在陕西省内无对应地级行政区，无法确定隶属关系，返回原输入。,陕西,shagedu,shagedu,null,null,陕西拼音shaanxi(注意与山西shānxī区分)，市全称shagedu非中文返回null，市简称shagedu非中文返回null，区全称null返回null，区简称null返回null,shaanxi,shaanxi,null,null,null,null,,,,,,,
zhejiang,zhuangshi,zhejiang指浙江。zhuangshi在浙江省内无对应地级行政区，无法确定隶属关系，返回原输入。,浙江,zhuangshi,zhuangshi,null,null,浙江拼音zhejiang，市全称zhuangshi非中文返回null，市简称zhuangshi非中文返回null，区全称null返回null，区简称null返回null,zhejiang,zhejiang,null,null,null,null,,,,,,,
hebei,tanghaizhensi team,hebei指河北。tanghaizhensi team无法对应有效行政区，返回原输入。区无数据返回null。,hebei,tanghaizhensi team,tanghaizhensi team,null,null,省hebei非中文返回null，市全称tanghaizhensi team非中文返回null，市简称tanghaizhensi team非中文返回null，区全称null返回null，区简称null返回null,null,null,null,null,null,null,,,,,,,
heilongjiang,horqin district,heilongjiang指黑龙江。horqin district属于内蒙古通辽市，与黑龙江省不匹配，返回原输入。,heilongjiang,horqin district,horqin district,null,null,省heilongjiang非中文返回null，市全称horqin district非中文返回null，市简称horqin district非中文返回null，区全称null返回null，区简称null返回null,null,null,null,null,null,null,,,,,,,
hebei,xugezhuang,hebei指河北。xugezhuang可能指徐各庄镇，属于唐山市丰润区，但无法确定地级行政区隶属关系，返回原输入。,河北,xugezhuang,xugezhuang,null,null,河北拼音hebei，市全称xugezhuang非中文返回null，市简称xugezhuang非中文返回null，区全称null返回null，区简称null返回null,hebei,hebei,null,null,null,null,,,,,,,
hunan,chenjia,hunan指湖南。chenjia在湖南无法确定具体地级行政区，返回原输入，区填充为null。,湖南,chenjia,chenjia,null,null,湖南拼音hunan，chenjia非中文返回null，chenjia非中文返回null，null非中文返回null，null非中文返回null,hunan,hunan,null,null,null,null,,,,,,,
tianjin,No Data,tianjin指天津。No Data无法识别，直接返回原输入并填充区为null。,天津,No Data,No Data,null,null,天津拼音tianjin，No Data非中文返回null，No Data非中文返回null，null非中文返回null，null非中文返回null,tianjin,tianjin,null,null,null,null,,,,,,,
