province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
heilongjiang,heilongjiang,hondlon district,heilongjiang指黑龙江。hondlon district可能指黑龙江大庆市的红岗区，所属地级行政是大庆市，全称大庆市，简称大庆。红岗区全称红岗区，简称红岗。,黑龙江,大庆市,大庆,红岗区,红岗,黑龙江拼音heilongjiang，大庆市拼音daqingshi，大庆拼音daqing，红岗区拼音honggangqu，红岗拼音honggang,heilongjiang,daqingshi,daqing,honggangqu,honggang,黑龙江省,黑龙江,大庆市,大庆,daqingshi,Daqing,Heilongjiang
inner mongolia,inner mongolia,ud district,inner mongolia指内蒙古。ud district指内蒙古乌海市的乌达区，所属地级行政是乌海市，全称乌海市，简称乌海。乌达区全称乌达区，简称乌达。,内蒙古,乌海市,乌海,乌达区,乌达,内蒙古拼音neimenggu，乌海市拼音wuhaishi，乌海拼音wuhai，乌达区拼音wudaqu，乌达拼音wuda,neimenggu,wuhaishi,wuhai,wudaqu,wuda,内蒙古自治区,内蒙古,乌海市,乌海,wuhaishi,Wuhai,Inner Mongolia
province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
tibet,tibet,gar county,tibet指西藏。gar county为噶尔县，所属地级行政区为阿里地区，简称阿里。噶尔县简称噶尔。,西藏,阿里地区,阿里,噶尔县,噶尔,西藏拼音xizang，阿里地区拼音alidiqu，阿里拼音ali，噶尔县拼音gaerxian，噶尔拼音gaer,xizang,alidiqu,ali,gaerxian,gaer,西藏自治区,西藏,阿里地区,阿里,alidiqu,Ngari,Tibet
beijing,beijing,No Data,beijing指北京。市为直辖市，无区信息时返回null。,北京,北京市,北京,null,null,北京拼音beijing，北京市拼音beijingshi，北京拼音beijing，null非中文返回null，null非中文返回null,beijing,beijingshi,beijing,null,null,北京市,北京,北京市,北京,beijingshi,Beijing,Beijing
tibet,tibet,chagyab county,tibet指西藏。chagyab county为察雅县，所属地级市为昌都市，简称昌都。察雅县简称察雅。,西藏,昌都市,昌都,察雅县,察雅,西藏拼音xizang，昌都市拼音changdoushi，昌都拼音changdou，察雅县拼音chayaxian，察雅拼音chaya,xizang,changdoushi,changdou,chayaxian,chaya,西藏自治区,西藏,昌都市,昌都,changdoushi,Qamdo,Tibet
