province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
sichuan,sichuan,jiuzhaigou county,sichuan指四川。jiuzhaigou county指四川的九寨沟县，九寨沟县是县级行政区，所属地级行政区是阿坝藏族羌族自治州，全称阿坝藏族羌族自治州，简称阿坝。九寨沟县的全称是九寨沟县，简称九寨沟，填充到区。,四川,阿坝藏族羌族自治州,阿坝,九寨沟县,九寨沟,四川拼音sichuan，阿坝藏族羌族自治州拼音abazangzuyiqiangzuzizhizhou，阿坝拼音aba，九寨沟县拼音jiuzhaigouxian，九寨沟拼音jiuzhaigou,sichuan,abazangzuyiqiangzuzizhizhou,aba,jiuzhaigouxian,jiuzhaigou,四川省,四川,阿坝藏族羌族自治州,阿坝,abacangzuqiangzuzizhizhou,Aba,Sichuan
sichuan,sichuan,zamtang county,sichuan指四川。zamtang county指四川的壤塘县，壤塘县是县级行政区，所属地级行政区是阿坝藏族羌族自治州，全称阿坝藏族羌族自治州，简称阿坝。壤塘县全称壤塘县，简称壤塘，填充到区。,四川,阿坝藏族羌族自治州,阿坝,壤塘县,壤塘,四川拼音sichuan，阿坝藏族羌族自治州拼音abazangzuqiangzuzizhizhou，阿坝拼音aba，壤塘县拼音rangtangxian，壤塘拼音rangtang,sichuan,abazangzuqiangzuzizhizhou,aba,rangtangxian,rangtang,四川省,四川,阿坝藏族羌族自治州,阿坝,abacangzuqiangzuzizhizhou,Aba,Sichuan
sichuan,sichuan,siguniangshan,sichuan指四川。siguniangshan指四川的四姑娘山，四姑娘山位于阿坝藏族羌族自治州小金县，小金县所属地级行政区是阿坝藏族羌族自治州，全称阿坝藏族羌族自治州，简称阿坝。四姑娘山所在的县是小金县，全称小金县，简称小金，填充到区。,四川,阿坝藏族羌族自治州,阿坝,小金县,小金,四川拼音sichuan，阿坝藏族羌族自治州拼音abazangzumiqiangzuzizhizhou，阿坝拼音aba，小金县拼音xiaojinxian，小金拼音xiaojin,sichuan,abazangzumiqiangzuzizhizhou,aba,xiaojinxian,xiaojin,四川省,四川,阿坝藏族羌族自治州,阿坝,abacangzuqiangzuzizhizhou,Aba,Sichuan
inner mongolia,inner mongolia,alxa youqi,inner mongolia指内蒙古。alxa youqi指内蒙古的阿拉善盟，阿拉善盟是地级行政区，全称阿拉善盟，简称阿拉善。输入没有提供地区名，填充为null。,内蒙古,阿拉善盟,阿拉善,null,null,内蒙古拼音neimenggu，阿拉善盟拼音alashanmeng，阿拉善拼音alashan，null非中文返回null，null非中文返回null,neimenggu,alashanmeng,alashan,null,null,内蒙古自治区,内蒙古,阿拉善盟,阿拉善盟,alashanmeng,Alxa,Inner Mongolia
xinjiang,xinjiang uygur,qinggil county,xinjiang uygur指新疆维吾尔自治区。qinggil county指新疆维吾尔自治区的青河县，所属地级行政区是阿勒泰地区，全称阿勒泰地区，简称阿勒泰。青河县全称青河县，简称青河，填充到区。,新疆维吾尔自治区,阿勒泰地区,阿勒泰,青河县,青河,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，阿勒泰地区拼音aletaidiqu，阿勒泰拼音aletai，青河县拼音qinghexian，青河拼音qinghe,xinjiangweiwuerzizhiqu,aletaidiqu,aletai,qinghexian,qinghe,新疆维吾尔自治区,新疆,阿勒泰地区,阿勒泰,aletaidiqu,Altay,Xinjiang
shanxi,shaanxi,hanbin district,shaanxi指陕西。hanbin district指陕西的汉滨区，所属地级行政是安康市，全称安康市，简称安康。汉滨区全称汉滨区，简称汉滨,陕西,安康市,安康,汉滨区,汉滨,陕西拼音shanxi，安康市拼音ankangshi，安康拼音ankang，汉滨区拼音hanbinqu，汉滨拼音hanbin,shanxi,ankangshi,ankang,hanbinqu,hanbin,陕西省,陕西,安康市,安康,ankangshi,Ankang,Shaanxi
liaoning,liaoning,haicheng,liaoning指辽宁。haicheng指辽宁鞍山市的海城市，海城市是县级市，所属地级行政区是鞍山市，全称鞍山市，简称鞍山。海城市的全称是海城市，简称海城，填充到区。,辽宁,鞍山市,鞍山,海城市,海城,辽宁拼音liaoning，鞍山市拼音anshanshi，鞍山拼音anshan，海城市拼音haichengshi，海城拼音haicheng,liaoning,anshanshi,anshan,haichengshi,haicheng,辽宁省,辽宁,鞍山市,鞍山,anshanshi,Anshan,Liaoning
guizhou,guizhou,zhenning buyeizu miaozu aut county,guizhou指贵州。zhenning buyeizu miaozu aut county指贵州的镇宁布依族苗族自治县，所属地级行政区是安顺市，全称安顺市，简称安顺。镇宁布依族苗族自治县的全称是镇宁布依族苗族自治县，简称镇宁。,贵州,安顺市,安顺,镇宁布依族苗族自治县,镇宁,贵州拼音guizhou，安顺市拼音anshunshi，安顺拼音anshun，镇宁布依族苗族自治县拼音zhenningbuyizumiaozuzizhixian，镇宁拼音zhenning,guizhou,anshunshi,anshun,zhenningbuyizumiaozuzizhixian,zhenning,贵州省,贵州,安顺市,安顺,anshunshi,Anshun,Guizhou
henan,henan,wenfeng district,henan指河南。wenfeng district指河南安阳的文峰区，所属地级行政是安阳市，全称安阳市，简称安阳。文峰区全称文峰区，简称文峰,河南,安阳市,安阳,文峰区,文峰,河南拼音henan，安阳市拼音anyangshi，安阳拼音anyang，文峰区拼音wenfengqu，文峰拼音wenfeng,henan,anyangshi,anyang,wenfengqu,wenfeng,河南省,河南,安阳市,安阳,anyangshi,Anyang,Henan
shanxi,shaanxi,weibin district,shaanxi指陕西。weibin district指陕西的渭滨区，所属地级行政区是宝鸡市，全称宝鸡市，简称宝鸡。渭滨区全称渭滨区，简称渭滨，填充到区。,陕西,宝鸡市,宝鸡,渭滨区,渭滨,陕西拼音shanxi，宝鸡市拼音baojishi，宝鸡拼音baoji，渭滨区拼音weibinqu，渭滨拼音weibin,shanxi,baojishi,baoji,weibinqu,weibin,陕西省,陕西,宝鸡市,宝鸡,baojishi,Baoji,Shaanxi
